cz,pop,parent,child,prop
8702,111346,3,1,0.2
8702,111346,4,1,0.133
8702,111346,5,1,0.107
8800,434615,1,1,0.332
8800,434615,2,1,0.257
8800,434615,3,1,0.2
8800,434615,4,1,0.16
8800,434615,5,1,0.139
8900,386870,1,1,0.357
8900,386870,2,1,0.278
8900,386870,3,1,0.205
8900,386870,4,1,0.145
8900,386870,5,1,0.13
9001,108438,1,1,0.336
9001,108438,2,1,0.244
9001,108438,3,1,0.157
9001,108438,4,1,0.137
9001,108438,5,1,0.123
9002,83808,1,1,0.361
9002,83808,2,1,0.285
9002,83808,3,1,0.218
9002,83808,4,1,0.186
9002,83808,5,1,0.147
9003,74610,1,1,0.373
9003,74610,2,1,0.305
9003,74610,3,1,0.193
9003,74610,4,1,0.141
9003,74610,5,1,0.123
9100,3798017,1,1,0.326
9100,3798017,2,1,0.272
9100,3798017,3,1,0.216
9100,3798017,4,1,0.17
9100,3798017,5,1,0.13
9200,135136,1,1,0.331
9200,135136,2,1,0.263
9200,135136,3,1,0.192
9200,135136,4,1,0.146
9200,135136,5,1,0.106
9301,212223,1,1,0.385
9301,212223,2,1,0.297
9301,212223,3,1,0.223
9301,212223,4,1,0.152
9301,212223,5,1,0.13
9302,89228,1,1,0.36
9302,89228,2,1,0.254
9302,89228,3,1,0.186
9302,89228,4,1,0.132
9302,89228,5,1,0.116
9400,272150,1,1,0.319
9400,272150,2,1,0.241
9400,272150,3,1,0.18
9400,272150,4,1,0.142
9400,272150,5,1,0.121
9500,148252,1,1,0.334
9500,148252,2,1,0.269
9500,148252,3,1,0.173
9500,148252,4,1,0.121
9500,148252,5,1,0.105
9600,457299,1,1,0.337
9600,457299,2,1,0.246
9600,457299,3,1,0.183
9600,457299,4,1,0.148
9600,457299,5,1,0.124
9701,303656,1,1,0.305
9701,303656,2,1,0.255
9701,303656,3,1,0.189
9701,303656,4,1,0.15
9701,303656,5,1,0.124
9702,65826,1,1,0.343
9702,65826,2,1,0.302
9702,65826,3,1,0.203
9702,65826,4,1,0.139
9702,65826,5,1,0.108
9800,150911,1,1,0.337
9800,150911,2,1,0.244
9800,150911,3,1,0.191
9800,150911,4,1,0.161
9800,150911,5,1,0.123
9900,426634,1,1,0.348
9900,426634,2,1,0.25
9900,426634,3,1,0.173
9900,426634,4,1,0.139
9900,426634,5,1,0.127
10000,172606,1,1,0.354
10000,172606,2,1,0.247
10000,172606,3,1,0.193
10000,172606,4,1,0.148
10000,172606,5,1,0.14
10101,43992,1,1,0.335
10101,43992,2,1,0.281
10101,43992,3,1,0.179
10101,43992,4,1,0.143
10101,43992,5,1,0.115
10102,66396,1,1,0.338
10102,66396,2,1,0.265
10102,66396,3,1,0.199
10102,66396,4,1,0.116
10102,66396,5,1,0.114
10200,181765,1,1,0.368
10200,181765,2,1,0.286
10200,181765,3,1,0.219
10200,181765,4,1,0.176
10200,181765,5,1,0.126
10301,61458,1,1,0.358
10301,61458,2,1,0.297
10301,61458,3,1,0.172
10301,61458,4,1,0.138
10301,61458,5,1,0.137
10302,223605,1,1,0.328
10302,223605,2,1,0.25
10302,223605,3,1,0.162
10302,223605,4,1,0.12
10302,223605,5,1,0.097
10400,157091,1,1,0.372
10400,157091,2,1,0.273
10400,157091,3,1,0.169
10400,157091,4,1,0.107
10400,157091,5,1,0.1
10501,95083,1,1,0.365
10501,95083,2,1,0.282
10501,95083,3,1,0.182
10501,95083,4,1,0.117
10501,95083,5,1,0.124
10502,105093,1,1,0.379
10502,105093,2,1,0.285
10502,105093,3,1,0.176
10502,105093,4,1,0.113
10502,105093,5,1,0.109
10600,161169,1,1,0.348
10600,161169,2,1,0.234
10600,161169,3,1,0.171
10600,161169,4,1,0.131
10600,161169,5,1,0.122
10700,1038182,1,1,0.339
10700,1038182,2,1,0.263
10700,1038182,3,1,0.192
10700,1038182,4,1,0.144
10700,1038182,5,1,0.117
10801,261112,1,1,0.344
10801,261112,2,1,0.27
10801,261112,3,1,0.177
10801,261112,4,1,0.14
10801,261112,5,1,0.137
10802,63233,1,1,0.335
10802,63233,2,1,0.269
10802,63233,3,1,0.193
10802,63233,4,1,0.146
10802,63233,5,1,0.105
10900,623252,1,1,0.34
10900,623252,2,1,0.237
10900,623252,3,1,0.169
10900,623252,4,1,0.14
10900,623252,5,1,0.125
11001,599405,1,1,0.309
11001,599405,2,1,0.253
11001,599405,3,1,0.184
11001,599405,4,1,0.133
11001,599405,5,1,0.112
11002,76853,1,1,0.308
11002,76853,2,1,0.239
11002,76853,3,1,0.156
11002,76853,4,1,0.135
11002,76853,5,1,0.088
11101,367927,1,1,0.346
11101,367927,2,1,0.266
11101,367927,3,1,0.182
11101,367927,4,1,0.143
11101,367927,5,1,0.11
11102,80901,1,1,0.314
11102,80901,2,1,0.205
11102,80901,3,1,0.14
11102,80901,4,1,0.102
11102,80901,5,1,0.085
11201,199334,1,1,0.346
11201,199334,2,1,0.222
11201,199334,3,1,0.177
11201,199334,4,1,0.122
11201,199334,5,1,0.114
11202,53037,1,1,0.369
11202,53037,2,1,0.232
11202,53037,3,1,0.201
11202,53037,4,1,0.171
11202,53037,5,1,0.176
11203,84011,1,1,0.368
11203,84011,2,1,0.255
11203,84011,3,1,0.176
11203,84011,4,1,0.139
11203,84011,5,1,0.125
11301,241044,1,1,0.352
11301,241044,2,1,0.257
11301,241044,3,1,0.187
11301,241044,4,1,0.132
11301,241044,5,1,0.108
11302,2512431,1,1,0.384
11302,2512431,2,1,0.29
11302,2512431,3,1,0.208
11302,2512431,4,1,0.145
11302,2512431,5,1,0.106
11303,59342,1,1,0.376
11303,59342,2,1,0.26
11303,59342,3,1,0.175
11303,59342,4,1,0.127
11303,59342,5,1,0.125
11304,4632415,1,1,0.323
11304,4632415,2,1,0.251
11304,4632415,3,1,0.197
11304,4632415,4,1,0.152
11304,4632415,5,1,0.117
11401,121919,1,1,0.313
11401,121919,2,1,0.225
11401,121919,3,1,0.163
11401,121919,4,1,0.126
11401,121919,5,1,0.095
11402,114408,1,1,0.284
11402,114408,2,1,0.19
11402,114408,3,1,0.132
11402,114408,4,1,0.089
11402,114408,5,1,0.087
11403,57510,1,1,0.308
11403,57510,2,1,0.226
11403,57510,3,1,0.14
11403,57510,4,1,0.139
11403,57510,5,1,0.077
11500,303839,1,1,0.369
11500,303839,2,1,0.244
11500,303839,3,1,0.186
11500,303839,4,1,0.127
11500,303839,5,1,0.11
11600,5327827,1,1,0.357
11600,5327827,2,1,0.271
11600,5327827,3,1,0.215
11600,5327827,4,1,0.165
11600,5327827,5,1,0.123
11700,447728,1,1,0.367
11700,447728,2,1,0.251
11700,447728,3,1,0.192
11700,447728,4,1,0.138
11700,447728,5,1,0.118
11800,136888,1,1,0.342
11800,136888,2,1,0.236
11800,136888,3,1,0.178
11800,136888,4,1,0.11
11800,136888,5,1,0.086
11900,540707,1,1,0.358
11900,540707,2,1,0.232
11900,540707,3,1,0.172
11900,540707,4,1,0.131
11900,540707,5,1,0.109
12001,120045,1,1,0.353
12001,120045,2,1,0.237
12001,120045,3,1,0.16
12001,120045,4,1,0.12
12001,120045,5,1,0.104
12002,52801,1,1,0.294
12002,52801,2,1,0.218
12002,52801,3,1,0.158
12002,52801,4,1,0.092
12002,52801,5,1,0.092
12100,509606,1,1,0.391
12100,509606,2,1,0.267
12100,509606,3,1,0.186
12100,509606,4,1,0.135
12100,509606,5,1,0.111
12200,1286045,1,1,0.364
12200,1286045,2,1,0.246
12200,1286045,3,1,0.161
12200,1286045,4,1,0.112
12200,1286045,5,1,0.086
12301,154452,1,1,0.296
12301,154452,2,1,0.21
12301,154452,3,1,0.16
12301,154452,4,1,0.116
12301,154452,5,1,0.117
12302,83975,1,1,0.308
12302,83975,2,1,0.201
12302,83975,3,1,0.169
12302,83975,4,1,0.116
12302,83975,5,1,0.115
12401,84783,1,1,0.311
12401,84783,2,1,0.242
12401,84783,3,1,0.168
12401,84783,4,1,0.106
12401,84783,5,1,0.126
12402,104421,1,1,0.328
12402,104421,2,1,0.229
12402,104421,3,1,0.177
12402,104421,4,1,0.119
12402,104421,5,1,0.109
12501,1179009,1,1,0.402
12501,1179009,2,1,0.268
12501,1179009,3,1,0.182
12501,1179009,4,1,0.126
12501,1179009,5,1,0.103
12502,109851,1,1,0.403
12502,109851,2,1,0.279
12502,109851,3,1,0.188
12502,109851,4,1,0.151
12502,109851,5,1,0.103
12600,104034,1,1,0.426
12600,104034,2,1,0.287
12600,104034,3,1,0.193
12600,104034,4,1,0.16
12600,104034,5,1,0.115
12701,1954800,1,1,0.422
12701,1954800,2,1,0.291
12701,1954800,3,1,0.185
12701,1954800,4,1,0.125
12701,1954800,5,1,0.093
12702,52963,1,1,0.359
12702,52963,2,1,0.28
12702,52963,3,1,0.161
12702,52963,4,1,0.153
12702,52963,5,1,0.13
12800,134026,1,1,0.313
12800,134026,2,1,0.24
12800,134026,3,1,0.163
12800,134026,4,1,0.111
12800,134026,5,1,0.084
12901,525970,1,1,0.436
12901,525970,2,1,0.296
12901,525970,3,1,0.217
12901,525970,4,1,0.156
12901,525970,5,1,0.125
12902,40195,1,1,0.413
12902,40195,2,1,0.29
12902,40195,3,1,0.205
12902,40195,4,1,0.135
12902,40195,5,1,0.16
12903,86667,1,1,0.37
12903,86667,2,1,0.259
12903,86667,3,1,0.188
12903,86667,4,1,0.125
12903,86667,5,1,0.109
13000,176597,1,1,0.31
13000,176597,2,1,0.212
13000,176597,3,1,0.155
13000,176597,4,1,0.125
